SA-TEMP,RA-TEMP,MA-TEMP,SA-HUMD,RA-HUMD,E_SF,SA-CFM,RA-CFM,E_ccoil,OAD-TEMP,OA-CFM,Y
71.723,73.337,70.679,76.597,50.638,0.034,2.248,2.228,0,73.325,1.727,F1
69.355,73.127,68.026,62.855,54.001,0.034,2.248,2.228,0,75.473,2.139,F1
54.717,69.868,70.679,90.172,55.935,0.54,878.948,1186.284,5.388,70.855,40.892,F1
55.04,72.391,74.498,90.368,49.657,1.43,2151.667,2001.621,18.846,82.67,401.811,F1
55.04,71.445,73.437,92.275,50.918,0.882,1514.074,1642.181,12.002,84.711,221.281,F1
54.394,72.391,75.241,89.134,48.059,1.591,2231.197,2094.553,20.273,86.645,418.335,F1
55.363,72.812,75.453,90.845,49.657,1.362,2091.076,1984.282,18.752,87.289,388.108,F1
55.04,72.707,74.498,90.593,49.797,1.293,2015.752,1927.484,17.42,81.059,371.833,F1
55.471,74.599,75.241,90.593,48.171,0.755,1336.888,1485.723,11.571,77.622,173.643,F1
54.61,70.078,70.891,88.938,55.739,0.512,850.232,1178.481,6.18,70.855,43.074,F1
55.148,72.496,75.453,89.723,49.657,1.634,2260.077,2106.963,20.453,87.397,432.057,F1
55.363,74.704,75.135,90.536,47.751,0.685,1264.403,1414.121,10.678,77.407,142.708,F1
62.682,73.443,66.859,76.121,45.901,0.034,2.248,2.228,0,80.2,1.807,F1
55.686,70.604,71.315,88.742,55.066,0.526,874.63,1186.284,6.933,71.821,49.163,F1
55.148,72.286,74.498,90.621,49.629,1.504,2202.376,2050.494,19.098,83.422,412.902,F1
55.04,73.127,74.392,91.182,49.32,1.005,1742.18,1730.806,14.681,78.803,299.522,F1
70.754,73.337,69.3,58.648,54.001,0.035,2.248,2.228,0,74.292,1.077,F1
65.588,73.232,73.968,70.567,61.344,1.027,1916.067,1797.281,21.966,76.118,326.402,F1
55.148,71.445,73.437,91.883,51.142,0.897,1518.833,1606.408,12.002,84.711,232.294,F1
59.13,72.812,69.194,82.852,42.453,0.034,2.248,9.286,0,82.778,5.171,F1
70.216,73.022,68.663,60.387,54.477,0.034,2.248,2.228,0,74.722,0.465,F1
54.932,72.601,75.771,88.91,47.919,1.758,2347.071,2185.732,21.495,88.363,447.693,F1
55.363,71.655,74.286,91.546,52.011,1.021,1751.943,1725.85,14.928,86.108,295.976,F1
54.825,72.496,75.453,89.246,48.143,1.738,2321.431,2171.31,21.148,87.611,442.257,F1
71.077,73.022,69.512,57.694,53.581,0.034,2.248,2.228,0,73.862,1.858,F1
72.261,73.127,71.315,77.327,50.245,0.034,2.248,2.228,0,73.54,1.245,F1
54.932,72.286,75.241,89.891,49.012,1.628,2254.976,2110.514,20.753,86.967,432.956,F1
55.04,72.601,73.862,90.705,49.797,1.133,1838.605,1808.991,15.696,79.34,323.848,F1
71.4,73.022,69.936,56.348,52.936,0.034,2.248,2.228,0,73.54,2.135,F1
55.148,71.235,74.074,91.49,52.263,1.094,1817.28,1767.275,15.637,86.752,315.729,F1
64.081,73.232,66.647,73.512,48.592,0.034,2.248,3.993,0,79.448,3.228,F1
55.363,70.499,71.209,89.976,55.15,0.518,867.442,1187.845,5.555,71.284,47.188,F1
71.831,73.127,71.103,77.046,50.554,0.034,2.248,2.228,0,73.325,0.772,F1
55.148,71.445,73.968,91.21,52.095,1.017,1729.177,1724.199,14.562,85.785,289.746,F1
71.615,73.443,70.467,73.681,51.17,0.034,2.248,2.228,0,73.325,0.353,F1
54.932,72.496,75.559,89.499,48.451,1.629,2253.277,2096.324,20.713,87.934,430.447,F1
71.293,73.127,69.83,56.628,52.768,0.035,2.248,2.228,0,73.54,0.45,F1
70.647,73.232,69.194,58.9,54.253,0.034,2.248,0.462,0,74.399,0.659,F1
55.578,72.707,75.453,90.621,49.741,1.422,2117.97,1996.413,19.172,87.719,393.112,F1
70.97,72.917,69.512,57.61,53.44,0.034,2.248,2.228,0,73.862,1.298,F1
71.615,73.443,70.467,73.26,51.086,0.034,2.248,2.228,0,73.433,1.692,F1
55.471,71.55,73.65,91.686,51.675,0.928,1566.563,1632.406,12.305,84.926,239.879,F1
55.148,72.917,75.878,89.471,48.227,1.766,2360.763,2162.32,21.299,88.041,454.941,F1
55.04,75.02,74.498,89.19,47.807,0.576,1030.765,1286.416,8.116,73.003,-4.962,F1
71.938,73.232,71.422,78.364,50.61,0.033,2.248,2.228,0,73.218,0.406,F1
55.04,72.707,74.286,91.069,49.797,1.175,1907.8,1864.53,16.144,80.307,334.46,F1
71.723,73.337,71.103,77.299,50.525,0.034,2.248,2.228,0,73.325,0.436,F1
55.148,73.863,74.604,90.957,48.592,0.877,1528.357,1601.544,13.395,77.729,231.532,F1
70.862,73.337,69.3,58.311,53.412,0.035,2.248,2.228,0,74.077,0.567,F1
55.148,72.286,74.18,90.733,49.797,1.358,2084.362,1967.004,17.973,81.596,382.663,F1
54.394,70.709,72.589,84.591,54.281,0.915,1600.133,1653.602,16.11,75.903,254.817,F1
71.938,73.232,71.315,77.888,50.301,0.034,2.248,2.228,0,73.325,0.699,F1
71.938,73.127,71.315,78.224,50.441,0.034,2.248,2.228,0,73.325,2.135,F1
71.723,73.127,70.785,75.756,50.806,0.034,2.248,2.228,0,73.433,0.785,F1
71.4,73.022,69.936,56.236,52.487,0.034,2.248,2.228,0,73.54,2.035,F1
55.363,72.812,75.559,90.144,48.423,1.563,2221.018,2082.176,19.638,87.074,415.51,F1
70.324,73.337,68.663,60.106,53.973,0.034,2.248,2.228,0,74.722,2.118,F1
70.97,73.022,69.512,57.778,53.44,0.034,2.248,2.228,0,73.862,1.231,F1
55.04,72.286,75.135,89.863,49.012,1.676,2273.689,2121.186,20.597,87.182,437.369,F1
54.932,70.288,71.103,90.789,54.758,0.505,837.362,1167.561,5.396,71.177,57.877,F1
55.04,72.496,74.074,91.125,49.769,1.162,1902.843,1830.804,16.103,80.092,339.983,F1
70.862,73.443,69.3,58.395,53.496,0.034,2.248,2.228,0,74.077,1.703,F1
54.932,72.601,75.665,89.218,48.003,1.755,2353.915,2187.538,21.421,88.578,447.202,F1
55.148,72.496,74.286,90.789,49.797,1.28,1990.749,1913.809,17.42,81.166,365.292,F1
55.148,72.707,74.286,91.21,49.881,1.127,1879.739,1819.048,15.926,79.985,342.3,F1
71.831,73.337,70.891,76.71,50.301,0.034,2.248,2.228,0,73.218,0.641,F1
70.754,73.232,69.194,58.592,54.085,0.034,2.248,0.462,0,74.292,0.776,F1
55.363,70.288,70.997,89.807,55.346,0.502,863.135,1198.773,5.622,71.177,52.79,F1
55.363,70.183,70.997,89.835,55.374,0.521,840.219,1178.481,5.541,71.284,56.393,F1
71.938,73.337,71.315,77.691,50.021,0.034,2.248,0.462,0,73.325,0.377,F1
55.578,73.022,75.665,90.06,48.704,1.637,2277.094,2108.738,19.462,87.504,425.686,F1
