TEO,FWC,FWE,TCA,TO_sump,TO_feed,PO_feed,VC,VE,TWI,Y
40.89,267.7,215.4,3.7,112,107.3,159.3,49,56,59.99,cf12
45.07,266.6,215.4,3.6,111.3,107.1,159.8,48,56,55.07,cf12
40.93,268.1,216.9,3.7,112.2,107.3,160.8,49,56,59.99,cf12
45.39,269.6,215.6,3.8,109.2,106.3,156.8,49,56,55.2,cf12
45.07,268.2,214.2,4.4,111.3,107.1,162.8,48,56,55.07,cf12
40.64,264.2,213.6,7,110.1,106.7,159.3,57,56,60.32,cf12
50.31,266.7,213.9,4.2,121.2,114.9,159.3,48,56,57.98,cf12
44.78,267.8,216.4,4.1,111.6,107.3,161.3,48,56,55.12,cf12
40.28,268,214.2,2.1,114.7,108.8,159.8,49,56,60.11,cf12
54.16,268,216,2.8,109.2,97.5,163.3,49.68,56,58.19,cf12
49.32,266.5,216.7,4,116.9,111.8,162.8,49,56,58.02,cf12
39.29,268.1,213.4,4,109,105.9,158.8,48,56,60.36,cf12
45.35,265.8,215.2,6.7,112.7,108.8,159.3,53,56,55.44,cf12
40.19,266.6,215.3,5.9,108.4,106.1,159.3,57,56,60.64,cf12
45.93,266.7,215.4,6,114.7,109.4,163.3,49,56,55.57,cf12
44.7,267.3,216.3,4.4,114.9,109.4,160.3,49,56,55.48,cf12
49.36,264.1,215.6,5.6,114.9,111.1,159.3,56,56,57.69,cf12
41.09,270.3,215.6,4.6,114.9,109.8,157.3,49.51,56,60.23,cf12
49.36,268,214.6,4.3,116.9,111.3,164.2,49,56,58.02,cf12
40.44,267.3,213.6,4.1,107.3,104.7,155.3,48,56,60.44,cf12
45.6,268.8,215.4,1.7,116.7,110.7,156.8,48,56,55.36,cf12
41.54,266.2,215.9,6.7,110.7,107.5,158.8,57,56,60.27,cf12
40.93,268.7,215.5,3.7,112,107.1,159.8,49,56,59.99,cf12
50.59,263.6,217.2,6.8,116.4,112,159.8,57,56,57.86,cf12
40.36,267.1,214.6,5.8,112,107.1,160.8,49,56,59.78,cf12
41.01,266.2,215.3,5.6,113.6,108.8,161.3,49.95,56,60.19,cf12
44.53,268.5,214.8,3.6,115.6,110.1,163.3,49,56,55.52,cf12
40.28,270.4,215,2,113.6,107.7,157.8,49,56,60.11,cf12
45.27,267.3,214.8,2.7,113.3,109,154.8,47,56,59.5,cf12
50.68,268.1,215.7,2.1,121.7,114.5,161.3,49,56,58.1,cf12
50.35,266.7,216.4,3.6,111.6,108,155.8,56,56,55.69,cf12
49.77,265.6,214.5,3.5,113.6,109.4,158.8,47,56,57.78,cf12
50.55,266.8,215.4,1.6,114,109.4,154.3,47,56,55.12,cf12
45.97,268.3,215.4,5.5,114.2,109.2,164.7,49,56,55.61,cf12
50.31,266.7,215.4,1.7,118.5,112,157.3,47,56,57.94,cf12
50.59,268.9,214.9,2.4,114,109.2,154.8,47,56,55.12,cf12
45.35,266.4,215.1,6.5,112.9,108.6,162.3,53,56,55.44,cf12
51.41,265.7,216.2,4.4,113.1,106.5,163.8,49,56,57.98,cf12
49.36,268.1,215.8,4.4,116.9,111.6,162.8,49,56,58.02,cf12
50.1,268.9,216.4,0.5,111.1,108,151.8,47,56,55.52,cf12
40.15,269,214.8,2.2,109.6,105.5,155.3,48,56,60.36,cf12
51.66,267.9,215.2,2.8,119,112.2,160.8,49,56,58.1,cf12
45.84,268,214.8,2,113.1,108,156.8,48,56,55.16,cf12
50.55,264.7,216.4,3.7,113.8,109.2,161.3,47,56,57.74,cf12
50.47,265.5,216.2,3.3,111.6,108.2,158.3,56,56,56.06,cf12
44.82,268.4,215.6,2.4,110.7,106.9,153.8,47,56,58.96,cf12
40.73,270.6,215.5,2,113.3,108.6,156.3,48,56,60.48,cf12
45.02,266.1,216.3,4.2,111.3,107.1,159.3,48,56,55.12,cf12
